['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-10T16_12_39.224Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-03T06_08_40.251Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-17T07_55_20.068Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-09T19_01_26.035Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-14T04_14_23.873Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-03T06_53_58.534Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-21T20_58_41.455Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-09T13_34_13.815Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-26T06_47_16.834Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-27T05_27_03.602Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-04T21_09_33.553Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-10T21_24_44.747Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-09T03_35_13.182Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-31T22_11_55.207Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-27T21_03_21.017Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-17T17_14_05.450Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-28T19_58_44.216Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-20T13_50_09.676Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-02T00_49_38.642Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-18T17_30_02.963Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-20T18_01_50.880Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-21T00_34_22.742Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-07T13_24_00.081Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-11-01T02_44_56.768Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-19T04_20_31.918Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T08_03_33.080Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-08T12_19_25.211Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-20T16_26_05.768Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-12T17_33_09.365Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-29T18_03_43.254Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-15T04_32_11.536Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-28T15_31_57.420Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-29T00_31_01.233Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T07_43_25.031Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-04T01_36_29.845Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-23T02_02_35.088Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-07T18_31_03.912Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
